date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-02-22,Costa Rica,Russia,1.0,2.0,Marlboro Cup,Los Angeles,United States,True,1990,30,1503.891527313553,1499.141790959728
1990-02-22,Oman,United Arab Emirates,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1500.0,1483.624416095535
1990-02-23,Qatar,Bahrain,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1500.0,1486.3556810654593
1990-02-24,Kuwait,Oman,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,False,1990,30,1480.1310272596993,1499.293532271781
1990-02-24,United States,Russia,1.0,3.0,Friendly,Palo Alto,United States,False,1990,20,1483.3872989650265,1514.346840788163
1990-02-27,Qatar,United Arab Emirates,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1499.4112300450226,1484.330883823754
1990-02-28,Egypt,Austria,0.0,0.0,Friendly,Cairo,Egypt,False,1990,20,1499.4077070610128,1500.0
1990-02-28,France,Germany,2.0,1.0,Friendly,Montpellier,France,False,1990,20,1528.752716699205,1500.0
1990-03-01,Bahrain,Oman,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1486.9444510204366,1501.2610935960574
1990-03-02,Algeria,Nigeria,5.0,1.0,African Cup of Nations,Algiers,Algeria,False,1990,40,1531.35907608713,1510.3148839277198
1990-03-02,Ivory Coast,Egypt,3.0,1.0,African Cup of Nations,Algiers,Algeria,True,1990,40,1489.747408240163,1497.5748521599903
1990-03-03,Senegal,Kenya,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1511.9111291547501,1503.3016085683328
1990-03-03,Cameroon,Zambia,0.0,1.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1488.1016859432657,1500.0
1990-03-04,Oman,Qatar,2.0,4.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1500.6433440537653,1498.7605677205693
1990-03-05,Algeria,Ivory Coast,3.0,0.0,African Cup of Nations,Algiers,Algeria,False,1990,40,1559.7573328808344,1520.4231697513821
1990-03-05,Bahrain,United Arab Emirates,1.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1990,30,1487.5622005627288,1484.9815461482074
1990-03-05,Nigeria,Egypt,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,1990,40,1481.9166271340155,1466.899090648771
1990-03-06,Cameroon,Senegal,0.0,2.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1468.7863403254867,1511.415626728993
1990-03-06,Mozambique,Angola,2.0,1.0,Friendly,Maputo,Mozambique,False,1990,20,1500.0,1500.0
1990-03-06,Zambia,Kenya,1.0,0.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1519.315345617779,1503.79711099409
1990-03-07,Kuwait,Qatar,2.0,0.0,Gulf Cup,Kuwait City,Kuwait,False,1990,30,1478.163465935423,1521.382495509751
1990-03-07,Lesotho,Zimbabwe,1.0,4.0,Friendly,Maputo,Mozambique,True,1990,20,1500.0,1500.0
1990-03-08,Algeria,Egypt,2.0,0.0,African Cup of Nations,Algiers,Algeria,False,1990,40,1584.551851850225,1447.763031570574
1990-03-08,Angola,Zimbabwe,0.0,2.0,Friendly,Maputo,Mozambique,True,1990,20,1491.8493246116866,1517.5
1990-03-08,Nigeria,Ivory Coast,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,1990,40,1501.0526862122126,1495.6286507819916
1990-03-09,Kuwait,United Arab Emirates,6.0,1.0,Gulf Cup,Kuwait City,Kuwait,False,1990,30,1499.2547707732815,1470.0929599064973
1990-03-09,Zambia,Senegal,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,1990,40,1538.4226377873065,1537.753079156465
