captured_at,match_id,commence_time,home,away,bookmaker,team,odds
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,pmu_fr,Draw,4.7
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,mybookieag,Mexico,1.38
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,mybookieag,South Africa,8.1
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,mybookieag,Draw,4.3
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_fr,Mexico,1.38
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_fr,South Africa,7.75
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,winamax_fr,Draw,4.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betclic_fr,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betclic_fr,South Africa,8.75
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betclic_fr,Draw,4.55
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betsson,Mexico,1.42
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betsson,South Africa,9.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betsson,Draw,4.35
